12:12:33 | INFO | AmazonSearchBooksTest:28                 | Creating web driver configuration...
12:12:33 | INFO | AmazonSearchBooksTest:28                 | Open browser...
12:12:34 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
12:12:34 | INFO | FileHelper:56                            | Creating folder: D:\TestMatick\Archive\build\downloads\1687511554019_1796_1
12:12:35 | INFO | WebDriverManager:606                     | Using chromedriver 114.0.5735.90 (resolved driver for Chrome 114)
12:12:35 | INFO | WebDriverManager:662                     | Exporting webdriver.chrome.driver as C:\Users\denia\.cache\selenium\chromedriver\win32\114.0.5735.90\chromedriver.exe
12:12:39 | INFO | WebDriverFactory:135                     | BrowserName=chrome Version=114.0.5735.134 Platform=WINDOWS
12:12:39 | INFO | WebDriverFactory:78                      | Selenide v. 5.19.0
12:12:39 | INFO | WebDriverFactory:129                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
12:12:39 | INFO | CreateDriverCommand:70                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (706c6c5a6cb49ec2bb155b7f9816851e)
12:12:42 | INFO | TestListener:18                          | STARTED test: searchBooksTest
12:12:48 | INFO | AmazonProductDetailPage:28               | Is best seller, element --> By.xpath: //*[text()='#1 Best Seller']
12:12:48 | INFO | AmazonProductDetailPage:28               | Is element visible, condition --> visible, element --> By.xpath: //*[text()='#1 Best Seller']
12:12:49 | INFO | AmazonProductDetailPage:28               | Get book name, element --> By.xpath: //span[@id='productTitle']
12:12:50 | INFO | AmazonProductDetailPage:28               | Get author, element --> By.xpath: //span[contains(@class, 'author')]/a
12:12:51 | INFO | HeaderComponent:28                       | Select category, element --> By.xpath: //header//select
12:12:52 | INFO | HeaderComponent:28                       | Select category, element --> By.xpath: //header//option[text()='Books']
12:12:53 | INFO | HeaderComponent:28                       | Search 'Java
12:12:54 | INFO | HeaderComponent:28                       | Search, element --> By.xpath: //header//input[@id='nav-search-submit-button']
12:12:57 | INFO | AmazonSearchResultsPage:28               | <init >, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result']
12:12:58 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][1]//span[text()='Best Seller']
12:12:58 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][1]//span[text()='Best Seller']
12:12:59 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][1]//h2//span
12:12:59 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][1]//span[contains(text(), 'by')]//following-sibling::*[1]
12:12:59 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][1]//span[@class='a-price']
12:12:59 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][2]//span[text()='Best Seller']
12:12:59 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][2]//span[text()='Best Seller']
12:12:59 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][2]//h2//span
12:12:59 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][2]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:00 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][2]//span[@class='a-price']
12:13:00 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][3]//span[text()='Best Seller']
12:13:00 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][3]//span[text()='Best Seller']
12:13:00 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][3]//h2//span
12:13:00 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][3]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:00 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][3]//span[@class='a-price']
